artist,album,release_date,track_name,track_number,duration_ms
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions,4,260625
Usher,Confessions (20th Anniversary Edition),2024-11-01,Confessions Part II,5,211023
Usher,Confessions (20th Anniversary Edition),2024-11-01,Burn,6,231933
Usher,Confessions (20th Anniversary Edition),2024-11-01,Caught Up,7,224814
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar - Interlude,8,64684
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar,9,191340
Usher,Confessions (20th Anniversary Edition),2024-11-01,Truth Hurts,10,218073
Usher,Confessions (20th Anniversary Edition),2024-11-01,Simple Things,11,280403
Usher,Confessions (20th Anniversary Edition),2024-11-01,Bad Girl,12,261861
Usher,Confessions (20th Anniversary Edition),2024-11-01,That's What It's Made For,13,277828
Usher,Confessions (20th Anniversary Edition),2024-11-01,Can U Handle It?,14,279360
Usher,Confessions (20th Anniversary Edition),2024-11-01,Do It To Me,15,213932
Usher,Confessions (20th Anniversary Edition),2024-11-01,Take Your Hand,16,165667
Usher,Confessions (20th Anniversary Edition),2024-11-01,Follow Me,17,193553
Usher,Confessions (20th Anniversary Edition),2024-11-01,My Boo,18,223219
Usher,Confessions (20th Anniversary Edition),2024-11-01,Red Light,19,288517
Usher,Confessions (20th Anniversary Edition),2024-11-01,Seduction,20,273508
Usher,Confessions (20th Anniversary Edition),2024-11-01,"Confessions Part II Remix (feat. Shyne, Twista & Kanye West)",21,268933
Usher,Confessions (20th Anniversary Edition),2024-11-01,Superstar - Orchestral Mix,22,206797
Usher,Confessions (20th Anniversary Edition),2024-11-01,Burn - Orchestral Mix,23,230926
Usher,COMING HOME (Expanded Edition),2024-02-09,Coming Home,1,195875
Usher,COMING HOME (Expanded Edition),2024-02-09,Good Good,2,247100
Usher,COMING HOME (Expanded Edition),2024-02-09,A-Town Girl,3,212575
Usher,COMING HOME (Expanded Edition),2024-02-09,Cold Blooded,4,196290
Usher,COMING HOME (Expanded Edition),2024-02-09,Kissing Strangers,5,188206
Usher,COMING HOME (Expanded Edition),2024-02-09,Keep On Dancin',6,191541
Usher,COMING HOME (Expanded Edition),2024-02-09,Risk It All - From the Original Motion Picture “The Color Purple”,7,201347
Usher,COMING HOME (Expanded Edition),2024-02-09,Bop,8,222985
Usher,COMING HOME (Expanded Edition),2024-02-09,Stone Kold Freak,9,214662
Usher,COMING HOME (Expanded Edition),2024-02-09,Ruin,10,181646
Usher,COMING HOME (Expanded Edition),2024-02-09,BIG,11,207845
Usher,COMING HOME (Expanded Edition),2024-02-09,On The Side,12,183875
Usher,COMING HOME (Expanded Edition),2024-02-09,I Am The Party,13,219463
Usher,COMING HOME (Expanded Edition),2024-02-09,I Love U,14,197740
Usher,COMING HOME (Expanded Edition),2024-02-09,Please U,15,178333
Usher,COMING HOME (Expanded Edition),2024-02-09,Luckiest Man,16,201672
Usher,COMING HOME (Expanded Edition),2024-02-09,Margiela,17,224526
Usher,COMING HOME (Expanded Edition),2024-02-09,Room In A Room,18,137917
Usher,COMING HOME (Expanded Edition),2024-02-09,One Of Them Ones,19,193532
Usher,COMING HOME (Expanded Edition),2024-02-09,Standing Next to You - USHER Remix,20,214760
Usher,COMING HOME (Expanded Edition),2024-02-09,Believe,21,211644
Usher,COMING HOME (Expanded Edition),2024-02-09,Naked,22,282422
Usher,COMING HOME,2024-02-09,Coming Home,1,195875
Usher,COMING HOME,2024-02-09,Good Good,2,247100
Usher,COMING HOME,2024-02-09,A-Town Girl,3,212575
Usher,COMING HOME,2024-02-09,Cold Blooded,4,196290
Usher,COMING HOME,2024-02-09,Kissing Strangers,5,188206
Usher,COMING HOME,2024-02-09,Keep On Dancin',6,191541
Usher,COMING HOME,2024-02-09,Risk It All - From the Original Motion Picture “The Color Purple”,7,201347
Usher,COMING HOME,2024-02-09,Bop,8,222985
Usher,COMING HOME,2024-02-09,Stone Kold Freak,9,214662
Usher,COMING HOME,2024-02-09,Ruin,10,181646
Usher,COMING HOME,2024-02-09,BIG,11,207845
Usher,COMING HOME,2024-02-09,On The Side,12,183875
Usher,COMING HOME,2024-02-09,I Am The Party,13,219463
Usher,COMING HOME,2024-02-09,I Love U,14,197740
Usher,COMING HOME,2024-02-09,Please U,15,178333
Usher,COMING HOME,2024-02-09,Luckiest Man,16,201672
Usher,COMING HOME,2024-02-09,Margiela,17,224526
Usher,COMING HOME,2024-02-09,Room In A Room,18,137917
Usher,COMING HOME,2024-02-09,One Of Them Ones,19,193532
Usher,COMING HOME,2024-02-09,Standing Next to You - USHER Remix,20,214760
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna...,1,219400
Usher,My Way (25th Anniversary Edition),2022-09-16,Just Like Me,2,207129
Usher,My Way (25th Anniversary Edition),2022-09-16,Nice & Slow - Radio Version,3,228096
Usher,My Way (25th Anniversary Edition),2022-09-16,Slow Jam (feat. Monica),4,283131
Usher,My Way (25th Anniversary Edition),2022-09-16,My Way,5,214416
Usher,My Way (25th Anniversary Edition),2022-09-16,Come Back,6,227372
Usher,My Way (25th Anniversary Edition),2022-09-16,I Will,7,234680
Usher,My Way (25th Anniversary Edition),2022-09-16,Bedtime,8,285307
Usher,My Way (25th Anniversary Edition),2022-09-16,One Day You'll Be Mine,9,203972
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna... - Extended Version,10,320000
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna... - Ryan James Carr Remake,11,182028
Usher,My Way (25th Anniversary Edition),2022-09-16,Nice & Slow - Ryan James Carr Remake,12,192064
Usher,My Way (25th Anniversary Edition),2022-09-16,My Way - Ryan James Carr Remake,13,212022
Usher,My Way (25th Anniversary Edition),2022-09-16,You Make Me Wanna... - Ryan James Carr Remake - Instrumental,14,182028
Usher,My Way (25th Anniversary Edition),2022-09-16,Nice & Slow - Ryan James Carr Remake - Instrumental,15,192071
Usher,My Way (25th Anniversary Edition),2022-09-16,My Way - Ryan James Carr Remake - Instrumental,16,212002
Usher,"""A""",2018-10-12,Stay At Home (feat. Future),1,207608
Usher,"""A""",2018-10-12,ATA,2,187322
Usher,"""A""",2018-10-12,Peace Sign,3,178034
Usher,"""A""",2018-10-12,You Decide,4,212918
Usher,"""A""",2018-10-12,Birthday,5,204658
Usher,"""A""",2018-10-12,She Ain't Tell Ya,6,201862
Usher,"""A""",2018-10-12,Say What U Want,7,219380
Usher,"""A""",2018-10-12,Gift Shop (feat. Gunna),8,221454
Usher,Hard II Love,2016-09-16,Need U,1,248098
Usher,Hard II Love,2016-09-16,Missin U,2,249127
